rooms_2/navigation_2.ltlf,rooms_2/envs_csyft_1/envs_1.ltlf,0.014,0,0,0
rooms_2/navigation_2.ltlf,rooms_2/envs_csyft_1/envs_2.ltlf,0.024,0,0,0
rooms_3/navigation_3.ltlf,rooms_3/envs_csyft_1/envs_1.ltlf,0.021,0,0,0
rooms_3/navigation_3.ltlf,rooms_3/envs_csyft_1/envs_2.ltlf,0.029,0,0.001,0.001
rooms_4/navigation_4.ltlf,rooms_4/envs_csyft_1/envs_1.ltlf,0.034,0,0.002,0.001
rooms_4/navigation_4.ltlf,rooms_4/envs_csyft_1/envs_2.ltlf,0.05,0.001,0.003,0.006
rooms_4/navigation_4.ltlf,rooms_4/envs_csyft_1/envs_3.ltlf,0.069,0.002,0.005,0.007
rooms_4/navigation_4.ltlf,rooms_4/envs_csyft_1/envs_4.ltlf,0.077,0.002,0.008,0.006
rooms_5/navigation_5.ltlf,rooms_5/envs_csyft_1/envs_1.ltlf,0.388,0.002,0.005,0.004
rooms_5/navigation_5.ltlf,rooms_5/envs_csyft_1/envs_2.ltlf,0.766,0.004,0.014,0.013
rooms_5/navigation_5.ltlf,rooms_5/envs_csyft_1/envs_3.ltlf,1.142,0.005,0.019,0.024
rooms_5/navigation_5.ltlf,rooms_5/envs_csyft_1/envs_4.ltlf,1.557,0.007,0.032,0.022
rooms_5/navigation_5.ltlf,rooms_5/envs_csyft_1/envs_5.ltlf,1.921,0.01,0.04,0.031
rooms_6/navigation_6.ltlf,rooms_6/envs_csyft_1/envs_1.ltlf,113.577,0.005,0.027,0.014
rooms_6/navigation_6.ltlf,rooms_6/envs_csyft_1/envs_2.ltlf,225.989,0.01,0.047,0.042
rooms_6/navigation_6.ltlf,rooms_6/envs_csyft_1/envs_3.ltlf,335.585,0.016,0.065,0.062
rooms_6/navigation_6.ltlf,rooms_6/envs_csyft_1/envs_4.ltlf,449.848,0.022,0.079,0.094
rooms_6/navigation_6.ltlf,rooms_6/envs_csyft_1/envs_5.ltlf,565.452,0.027,0.105,0.105
rooms_6/navigation_6.ltlf,rooms_6/envs_csyft_1/envs_6.ltlf,674.655,0.034,0.118,0.122
